"Protein","x"
"Q8H859","osa01100 osa01110 osa00940"
"Q8H879","osa01100 osa00190"
"Q8H8C7","osa04626"
"Q8H8D6","osa01100 osa00480"
"Q8H8D8","osa01100 osa00480"
"Q8H921","osa01100 osa01110 osa00740"
"Q8HCQ3","osa01100 osa00190"
"Q8HCQ9","osa01100 osa00190 osa00195"
"Q8L472","osa00195"
"Q8L4L4","osa03010"
"Q8L4V6","osa01100 osa00480"
"Q8L5X0","osa03010"
"Q8L6I1","osa01100 osa00190"
"Q8L7J2","osa01100 osa01110 osa00500 osa00940 osa00460"
"Q8LI89","osa01100 osa00760"
"Q8LJ81","osa01100 osa01110 osa00906"
"Q8LJU5","osa03010"
"Q8LMJ0","osa01100 osa00480"
"Q8LMR0","osa01100 osa01110 osa01200 osa01230 osa00270 osa00260 osa00750"
"Q8LP96","osa01100 osa00920"
"Q8LQ33","osa01100 osa01110 osa00500"
"Q8LQ68","osa01100 osa01110 osa01200 osa00010 osa00500 osa00520 osa00051 osa00052"
"Q8LQN2","osa01100 osa01110 osa00130"
"Q8RU33","osa01100 osa00190 osa04145"
"Q8RVB1","osa03010"
"Q8RZW7","osa01100 osa00920"
"Q8S1Y9","osa04626 osa04016 osa04070"
"Q8S3Q3","osa01100 osa01110 osa00010"
"Q8S3R2","osa01100 osa00053"
"Q8S5M6","osa01100 osa01110 osa00970 osa00860"
"Q8S5T1","osa01100 osa00480"
"Q8S718","osa01100 osa00480"
"Q8S7H8","osa01100 osa00195"
"Q8S9S2","osa04130"
"Q8S9U5","osa01100 osa00480"
"Q8SA35","osa01100 osa00190 osa04145"
"Q8VWJ6","osa01100 osa00380"
"Q8W084","osa04626 osa04016 osa04075"
"Q8W0E6","osa01100 osa00196"
"Q8W0E8","osa01100 osa00190"
"Q8W250","osa01100 osa01110 osa00900"
"Q8W317","osa01100 osa00190"
"Q8W3D9","osa01100 osa01110 osa00860"
"Q8W3J0","osa01100 osa00520"
"Q8W423","osa03050"
"Q93VT8","osa01100 osa01110 osa00020"
"Q93WM3","osa00970"
"Q93WY5","osa01100 osa00480"
"Q93X08","osa01100 osa01110 osa00500 osa00520 osa00052 osa00040"
"Q93XI4","osa01100 osa00330"
"Q93Y73","osa01100 osa01110 osa01230 osa00270 osa00260 osa01210 osa00300 osa00261"
"Q942L2","osa04141"
"Q943K1","osa00195"
"Q943W1","osa00195"
"Q943W5","osa00970"
"Q945W2","osa01100 osa00480"
"Q945W3","osa01100 osa00480"
"Q945W5","osa01100 osa00480"
"Q945X2","osa01100 osa00480"
"Q945X3","osa01100 osa00350"
"Q948T6","osa01100 osa00620"
"Q94CM9","osa03010"
"Q94CN1","osa01100 osa01110 osa00592 osa00071 osa01212"
"Q94CU3","osa01100 osa00230 osa00232"
"Q94DM7","osa03010"
"Q94DR2","osa01100 osa00770"
"Q94J17","osa03010"
"Q94LR9","osa01100 osa01110 osa04146 osa00592 osa00071 osa00280 osa01212 osa01040"
"Q9ARZ9","osa03010"
"Q9AS12","osa01100 osa01110 osa00940"
"Q9AS33","osa04141"
"Q9ASP4","osa01100 osa01110 osa01200 osa00010 osa00620 osa00630 osa00020 osa00260 osa00280 osa00380 osa00310 osa00640"
"Q9AUQ4","osa01100 osa01110 osa00010 osa00500 osa00520 osa00030 osa00230 osa00052"
"Q9AUV6","osa01100 osa00520 osa00053 osa00040"
"Q9AV81","osa03040 osa04120"
"Q9AWS9","osa03010"
"Q9AXB0","osa01100 osa01110 osa00860"
"Q9AYE4","osa04136"
"Q9FP19","osa03008"
"Q9FRX7","osa01100 osa01110 osa00010 osa00620 osa00053 osa00071 osa00561 osa00280 osa00380 osa00410 osa00340 osa00330 osa00310 osa00903"
"Q9FTU2","osa03420 osa03030 osa03430 osa03440"
"Q9FW31","osa01110 osa00592"
"Q9FW35","osa04146"
"Q9FWK4","osa01100 osa00910"
"Q9FXT4","osa01100 osa00561 osa00052 osa00600 osa00603"
"Q9LD61","osa01100 osa00250 osa00240"
"Q9LDN2","osa01100 osa00240"
"Q9LGE6","osa03040 osa03018"
"Q9LGZ2","osa01100 osa00270"
"Q9LI00","osa01100 osa01110 osa01200 osa00480 osa00030"
"Q9LJ04","osa03040"
"Q9LST6","osa03050"
"Q9LST8","osa03050"
"Q9LST9","osa03050"
"Q9LSU0","osa03050"
"Q9LSU1","osa03050"
"Q9LSU3","osa03050"
"Q9LWN1","osa03010"
"Q9LWS2","osa03010"
"Q9S827","osa01100 osa01110 osa01200 osa00190 osa00020"
"Q9SDD1","osa03050"
"Q9SDG5","osa01100 osa01110 osa01200 osa01230 osa00020 osa01210"
"Q9SDJ2","osa01100 osa01110 osa00860"
"Q9SNK3","osa01100 osa01200 osa00710"
"Q9SNL7","osa01100 osa01110 osa00860"
"Q9SXV0","osa01100 osa00190"
"Q9XJ29","osa01100 osa01110 osa01230 osa00400"
"Q9ZST0","osa03010"
"Q9ZWR4","osa03013"
"Q9ZWR5","osa03013"
"S4TZU3","osa01100 osa01110 osa01200 osa00020 osa00640"
"V5K4U2","osa01100 osa00230 osa00250"
