"Protein","x"
"Q10LR9","osa01100 osa01110 osa00860"
"Q10LV7","osa00195"
"Q10LW8","osa01100 osa00620"
"Q10M94","osa01100 osa01110 osa01200 osa00480 osa00030"
"Q10MA7","osa03018"
"Q10MK9","osa01100 osa01110 osa01200 osa00010 osa00620 osa00630 osa00650"
"Q10MQ2","osa01100 osa01110 osa01230 osa00300"
"Q10MR0","osa03040"
"Q10MS3","osa01100 osa01110 osa01212 osa00061"
"Q10MS4","osa03010"
"Q10MT2","osa04141 osa03013"
"Q10N17","osa01100 osa01110 osa01230 osa00400"
"Q10N21","osa01100 osa00480 osa00053"
"Q10N30","osa03010"
"Q10N88","osa04144"
"Q10N90","osa03040 osa03013 osa03015"
"Q10NA1","osa04141 osa03040 osa04144"
"Q10NA9","osa04141 osa03040 osa04144"
"Q10NP6","osa03040"
"Q10NQ9","osa03013"
"Q10NW0","osa01100 osa01110 osa01230 osa00340"
"Q10NX2","osa01100 osa01110 osa01200 osa00010 osa00710 osa00620 osa00020"
"Q10NY1","osa01100 osa01110 osa01230 osa00400"
"Q10P53","osa04144"
"Q10PD0","osa01100 osa00740"
"Q10PV6","osa03010"
"Q10PW2","osa04145"
"Q10PW4","osa04146"
"Q10Q05","osa03050"
"Q10QL6","osa01100 osa00190"
"Q10R45","osa01100 osa01110 osa00270 osa00260 osa00250 osa00280"
"Q10RP0","osa04141"
"Q10RW9","osa03018"
"Q10RZ3","osa03010"
"Q10S49","osa01100 osa00480"
"Q10S55","osa01100 osa01110 osa01230 osa00340"
"Q10S82","osa01100 osa01110 osa01200 osa00630 osa04146 osa04016 osa00380"
"Q10SR3","osa03018"
"Q2QM55","osa01100 osa01110 osa01200 osa00010 osa00620 osa00020"
"Q2QM60","osa03010"
"Q2QME5","osa03013"
"Q2QNF3","osa03010"
"Q2QNG7","osa01100 osa01110 osa00020"
"Q2QNN5","osa01100 osa01110 osa00592 osa00591"
"Q2QP62","osa00970"
"Q2QPD4","osa00970"
"Q2QPR0","osa01100 osa01110 osa00940 osa00360"
"Q2QQB3","osa04144"
"Q2QS13","osa01100 osa00520 osa00053 osa00040"
"Q2QT32","osa01100 osa01110 osa01200 osa01230 osa00630 osa00260 osa00460 osa00670"
"Q2QTJ7","osa01100 osa01110 osa01200 osa00710 osa00630"
"Q2QV45","osa04141 osa03040 osa04144"
"Q2QVC1","osa01100 osa01110 osa01230 osa00250 osa00220"
"Q2QWN3","osa00195"
"Q2QWU7","osa01100 osa01110 osa01200 osa00010 osa00620 osa00020"
"Q2R0P3","osa01100 osa01110 osa00561 osa00564"
"Q2R1C4","osa04141"
"Q2R1V8","osa01100 osa01110 osa00520 osa00053"
"Q2R2Z0","osa01100 osa00970"
"Q2R339","osa01100 osa01110 osa01200 osa01230 osa00630 osa00020 osa01210"
