"Protein","x"
"P04049","hsa04510 hsa04810 hsa05165 hsa05200 hsa04151 hsa05205 hsa05206 hsa05152 hsa04010 hsa05170 hsa04015 hsa04910 hsa04014 hsa05163 hsa04915 hsa04210 hsa04150 hsa04068 hsa04666 hsa04022 hsa04919 hsa05167 hsa04625 hsa05164 hsa05215 hsa04371 hsa04360 hsa04914 hsa04935 hsa04072 hsa04071 hsa04062 hsa04660 hsa05225 hsa04921 hsa05230 hsa04140 hsa04270 hsa04218 hsa05160 hsa05161 hsa04024 hsa04662 hsa04012 hsa01521 hsa05235 hsa05226 hsa04722 hsa04540 hsa04926 hsa05214 hsa05210 hsa01522 hsa05221 hsa05034 hsa04928 hsa05212 hsa04370 hsa04664 hsa05223 hsa04917 hsa05231 hsa04720 hsa05224 hsa05213 hsa04650 hsa04929 hsa05220 hsa04630 hsa05211 hsa04550 hsa04730 hsa04726 hsa04912 hsa04916 hsa05218 hsa05219"
"P04114","hsa04979 hsa04977 hsa04975"
"P04179","hsa05016 hsa04068 hsa04146 hsa04213 hsa04211"
"P04181","hsa01100 hsa00330"
"P04275","hsa04610 hsa04510 hsa05165 hsa04151 hsa04611 hsa04512"
"P04792","hsa04010 hsa05146 hsa04370"
"P04818","hsa01100 hsa00240 hsa00670 hsa01523"
"P04843","hsa01100 hsa04141 hsa00510 hsa00513"
"P04844","hsa01100 hsa04141 hsa00510 hsa00513"
"P05106","hsa04510 hsa04810 hsa05165 hsa04151 hsa05205 hsa04145 hsa04611 hsa05206 hsa04512 hsa04015 hsa05163 hsa05168 hsa04919 hsa05418 hsa05412 hsa05410 hsa04380 hsa05414 hsa04640"
"P05154","hsa04610"
"P05155","hsa04610 hsa05133"
"P05156","hsa04610 hsa05150"
"P05455","hsa05322"
"P05543","hsa04918"
"P05546","hsa04610"
"P05783","hsa05150 hsa04915"
"P05997","hsa04974"
"P06396","hsa04810 hsa05203 hsa04666"
"P06681","hsa04610 hsa05150 hsa05322 hsa05133"
"P06737","hsa01100 hsa04910 hsa04922 hsa04931 hsa04217 hsa00500"
"P07225","hsa04610"
"P07358","hsa04610 hsa05146 hsa05322 hsa05020"
"P07360","hsa04610 hsa05146 hsa05322 hsa05020"
"P07451","hsa01100 hsa00910"
"P07900","hsa05200 hsa04151 hsa04141 hsa04915 hsa05418 hsa05215 hsa04914 hsa04621 hsa04217 hsa04657 hsa04659 hsa04612"
"P08183","hsa05206 hsa05226 hsa02010 hsa04976"
"P08237","hsa01100 hsa01200 hsa04152 hsa04922 hsa01230 hsa04066 hsa03018 hsa05230 hsa00010 hsa00052 hsa00051 hsa00030"
"P08240","hsa03060"
"P08243","hsa01100 hsa01230 hsa00250"
"P08514","hsa04510 hsa04810 hsa05165 hsa05200 hsa04151 hsa04611 hsa04512 hsa04015 hsa05418 hsa05222 hsa05412 hsa05410 hsa05414 hsa04640"
"P08575","hsa04666 hsa04660 hsa04514 hsa05340"
"P08603","hsa04610 hsa05150"
"P08621","hsa03040"
"P08670","hsa05206 hsa05169"
"P08697","hsa04610"
"P08727","hsa05150 hsa04915"
"P08779","hsa05150 hsa04915"
"P09211","hsa05200 hsa05418 hsa05215 hsa05225 hsa01524 hsa00480 hsa00983 hsa05204 hsa00982 hsa00980"
"P09871","hsa04610 hsa05150 hsa05322 hsa05133"
"P09874","hsa04210 hsa04217 hsa04064 hsa03410"
"P09884","hsa03030"
"P09917","hsa01100 hsa05145 hsa04664 hsa04726 hsa00590 hsa04913"
"P0C0L4","hsa04610 hsa05150 hsa05322 hsa05133"
"P10586","hsa04910 hsa04931 hsa04520 hsa04514"
"P10809","hsa05152 hsa03018 hsa05134 hsa04940"
"P10909","hsa04610"
"P11021","hsa04141 hsa05020 hsa04918 hsa04612 hsa03060"
"P11047","hsa04510 hsa05165 hsa05200 hsa04151 hsa05146 hsa04512 hsa05020 hsa05145 hsa05222"
"P11182","hsa01100 hsa00640 hsa00280"
"P11388","hsa01524"
"P11498","hsa01100 hsa01200 hsa01230 hsa00020 hsa00620"
"P11586","hsa01100 hsa00670"
"P12004","hsa04530 hsa04110 hsa03030 hsa05161 hsa03420 hsa03430 hsa03410"
"P12109","hsa04510 hsa05165 hsa04151 hsa04512 hsa04974"
"P12111","hsa04510 hsa05165 hsa04151 hsa04512 hsa04974"
"P12259","hsa04610"
"P12270","hsa05200 hsa03013 hsa05216"
"P12277","hsa01100 hsa00330"
"P12532","hsa01100 hsa00330"
"P12814","hsa04510 hsa04810 hsa04530 hsa05131 hsa05203 hsa05146 hsa05322 hsa04670 hsa04520"
"P12821","hsa05142 hsa05410 hsa04924 hsa04614"
"P12956","hsa03450"
"P13010","hsa03450"
"P13073","hsa01100 hsa05016 hsa04714 hsa05010 hsa00190 hsa04932 hsa05012 hsa04260"
"P13473","hsa04145 hsa05152 hsa04140 hsa04142"
"P13639","hsa04152 hsa04921"
"P13667","hsa04141 hsa05110 hsa04918"
"P13671","hsa04610 hsa05322 hsa05020"
"P13716","hsa01100 hsa00860"
"P14314","hsa04141"
"P14317","hsa04530 hsa05130 hsa05131 hsa05205 hsa05100"
"P14550","hsa01100 hsa00010 hsa00561 hsa00040"
"P14625","hsa05200 hsa04151 hsa04141 hsa04915 hsa05418 hsa05215 hsa04918 hsa04657"
"P14868","hsa00970"
"P15144","hsa01100 hsa00480 hsa04640 hsa04614"
"P15311","hsa04810 hsa04530 hsa05130 hsa05205 hsa05206 hsa04670 hsa04971"
"P15924","hsa05412"
"P16144","hsa04510 hsa04810 hsa05165 hsa04151 hsa04512 hsa05412 hsa05410 hsa05414"
"P16885","hsa01100 hsa05200 hsa05131 hsa05205 hsa04611 hsa05206 hsa05169 hsa05170 hsa04014 hsa04666 hsa04919 hsa05167 hsa04625 hsa04670 hsa04066 hsa04360 hsa04935 hsa04072 hsa05225 hsa04933 hsa05110 hsa04380 hsa04662 hsa04012 hsa01521 hsa04722 hsa04020 hsa04064 hsa05214 hsa04370 hsa05120 hsa04664 hsa05223 hsa04650 hsa04750 hsa04070 hsa00562"
"P17301","hsa04510 hsa04810 hsa05165 hsa05200 hsa04151 hsa05205 hsa04145 hsa04611 hsa04512 hsa05222 hsa05412 hsa05410 hsa05414 hsa04640"
"P18206","hsa04510 hsa04810 hsa05131 hsa05146 hsa04670 hsa05100 hsa04520"
"P18428","hsa05152 hsa05132 hsa04064 hsa04620"
"P19012","hsa05150 hsa04915"
"P19367","hsa01100 hsa05131 hsa01200 hsa04910 hsa04066 hsa05230 hsa00010 hsa04973 hsa00052 hsa04930 hsa00500 hsa00520 hsa00051 hsa00524"
"P19801","hsa01100 hsa00330 hsa00380 hsa00340"
