"Protein","x"
"Q91VR2","mmu00190 mmu01100 mmu05010 mmu05012 mmu05016"
"Q06185","mmu00190 mmu01100"
"P41233","mmu02010 mmu04975"
"Q5SSE9","mmu02010"
"E9PX95","mmu02010"
"P41234","mmu02010 mmu04142"
"Q8R420","mmu02010"
"O35600","mmu02010"
"Q8K448","mmu02010"
"Q8K441","mmu02010"
"Q91V24","mmu02010"
"Q8K442","mmu02010"
"Q8K440","mmu02010"
"Q8K449","mmu02010"
"Q9JI39","mmu02010"
"Q9QY30","mmu02010 mmu04976"
"P21447","mmu02010 mmu04976 mmu05206"
"P06795","mmu02010 mmu04976 mmu05206"
"P21440","mmu02010 mmu04976"
"B5X0E4","mmu02010"
"Q9DC29","mmu02010"
"Q61102","mmu02010"
"Q9CXJ4","mmu02010"
"Q9JJ59","mmu02010 mmu04142"
"O35379","mmu02010 mmu04071 mmu04977 mmu05206"
"Q8R4P9","mmu02010"
"Q80WJ6","mmu02010"
"Q8VI47","mmu02010 mmu04976"
"B2RX12","mmu02010 mmu04976"
"Q9R1X5","mmu02010"
"Q9R1S7","mmu02010"
"P70170","mmu02010"
"P48410","mmu02010 mmu04146"
"Q61285","mmu02010 mmu04146"
"P55096","mmu02010 mmu04146"
"O89016","mmu02010 mmu04146"
"Q64343","mmu02010"
"Q7TMS5","mmu02010 mmu04976"
"Q99P81","mmu02010"
"Q99PE8","mmu02010 mmu04975 mmu04976"
"Q9DBM0","mmu02010 mmu04975 mmu04976"
"Q99ME6","mmu04022 mmu04024 mmu04260 mmu04261 mmu04911 mmu04918 mmu04919 mmu04960 mmu04961 mmu04964 mmu04970 mmu04971 mmu04972 mmu04973 mmu04974 mmu04976 mmu04978"
"Q8R429","mmu04020 mmu04022 mmu04972 mmu05010"
"O55143","mmu04020 mmu04022 mmu04972 mmu05010"
"G5E829","mmu04020 mmu04022 mmu04024 mmu04261 mmu04970 mmu04972"
"Q9R0K7","mmu04020 mmu04022 mmu04024 mmu04261 mmu04970 mmu04972"
"Q6Q477","mmu04020 mmu04022 mmu04024 mmu04261 mmu04970 mmu04972"
"Q64518","mmu04020 mmu04022 mmu04972 mmu05010"
"Q9Z1G4","mmu00190 mmu01100 mmu04142 mmu04145 mmu04721 mmu04966 mmu05152 mmu05323"
"P15920","mmu00190 mmu01100 mmu04142 mmu04145 mmu04721 mmu04966 mmu05152 mmu05323"
"Q920R6","mmu00190 mmu01100 mmu04142 mmu04145 mmu04721 mmu04966 mmu05152 mmu05323"
"Q91V37","mmu00190 mmu01100 mmu04142 mmu04145 mmu04721 mmu05152 mmu05323"
"P63082","mmu00190 mmu01100 mmu04142 mmu04145 mmu04721 mmu04966 mmu05152 mmu05323"
"P51863","mmu00190 mmu01100 mmu04142 mmu04145 mmu04721 mmu04966 mmu05152 mmu05203 mmu05323"
"Q80SY3","mmu00190 mmu01100 mmu04142 mmu04145 mmu04721 mmu04966 mmu05152 mmu05203 mmu05323"
"Q9CQD8","mmu00190 mmu01100 mmu04145 mmu04721 mmu04966 mmu05323"
"Q91XE7","mmu00190 mmu01100 mmu04145 mmu04721 mmu04966 mmu05323"
"P50516","mmu00190 mmu01100 mmu04145 mmu04721 mmu04966 mmu05323"
"P62814","mmu00190 mmu01100 mmu04145 mmu04721 mmu04966 mmu05323"
"Q9Z1G3","mmu00190 mmu01100 mmu04145 mmu04721 mmu04966 mmu05323"
"Q99L60","mmu00190 mmu01100 mmu04145 mmu04721 mmu04966 mmu05323"
"P57746","mmu00190 mmu01100 mmu04145 mmu04721 mmu04966 mmu05323"
"P50518","mmu00190 mmu01100 mmu04145 mmu04721 mmu04966 mmu05323"
"Q9D593","mmu00190 mmu01100 mmu04145 mmu04721 mmu04966 mmu05323"
"Q9D1K2","mmu00190 mmu01100 mmu04145 mmu04721 mmu04966 mmu05323"
"Q9CR51","mmu00190 mmu01100 mmu04145 mmu04721 mmu04966 mmu05323"
"Q9WTT4","mmu00190 mmu01100 mmu04145 mmu04721 mmu04966 mmu05323"
"Q8BMC1","mmu00190 mmu01100 mmu04145 mmu04721 mmu04966 mmu05323"
"Q8BVE3","mmu00190 mmu01100 mmu04142 mmu04145 mmu04721 mmu05152 mmu05323"
"Q9R1Q9","mmu00190 mmu01100 mmu04142 mmu04145 mmu05152 mmu05161 mmu05323"
"Q9CYN9","mmu04614"
"P50992","mmu00190 mmu04966 mmu04971"
"Q64436","mmu00190 mmu04966 mmu04971"
"Q9Z1W8","mmu00190"
"Q8VDN2","mmu04022 mmu04024 mmu04260 mmu04261 mmu04911 mmu04918 mmu04919 mmu04960 mmu04961 mmu04964 mmu04970 mmu04971 mmu04972 mmu04973 mmu04974 mmu04976 mmu04978"
